url,file_type,skip_rows,num_columns,occupation_heading,address_format,occupation_format,stream_heading,incorporate_status_column,approved_lmias_column,fill_down
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/68a48c73-39a1-4049-a7ae-044f9c6c87b3/download/2016_positive_employer_en.csv,csv,2,5,Occupations under NOC 2011,"city before last comma, prov postal",XXXX-category,no stream column,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/b0f8c373-9141-49b9-bba7-54afcd9835fc/download/2017q1q2_positive_en.csv,csv,2,6,Occupations under NOC 2011,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/f9352594-c095-4c63-b6b5-d88c2dc564de/download/2017q3_positive_employer_stream_en.csv,csv,2,6,Occupations under NOC 2011,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/90a8f6af-18d8-47ed-a874-f1f5b12f23a3/download/2017q4_positive_employer_en.csv,csv,2,6,Occupations under NOC 2011,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/6caf0a3d-2d12-4f87-8029-77213921da50/download/2018q1_positive_employer_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/76559be2-7106-4f46-ab89-cbbe218d7a7c/download/2018q2_positive_employer_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/6a450855-2a4c-4b00-993b-cc72325f5e3a/download/2018q3_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/dc22140f-8b1b-49c3-a700-63f741ae491e/download/2018q4_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/6fb9a0c8-57d2-4e86-a0f6-4c4b97c32e46/download/tfwp_2019q1_employer_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/d32f33b5-08ce-4ca7-a0b7-1072cd964ff8/download/tfwp_2019q2_employer_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/263eeeed-18ee-4a3d-a3e7-9c7e971793fd/download/tfwp_2019q3_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/3a5efac6-6332-47a2-b729-733af38705a8/download/tfwp_2019q4_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/00d8e64f-a6d9-4cee-b6a7-bf232e8f7d10/download/tfwp_2020q1_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/cfd54dfb-cc07-4699-912d-6f2ca7239fd9/download/useb-dgcetfw-tetdip-piddiviaionline-publicationemployer-list2020-employer-list2020q22020q2csv202.csv,csv,1,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/d7f10890-cfd4-4b15-baa7-d40bad38343b/download/tfwp_2020q3_positive_en.csv,csv,2,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/c7a9aa48-fa8c-48cc-a535-d2e64bd96b37/download/useb-dgcetfw-tetdip-piddiviaionline-publicationemployer-list2020-employer-list2020q4tfwp_2020q4.xlsx,xlsx,1,6,Occupation,"city before last comma, prov postal",XXXX-category,Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/9c690222-fc92-4849-bd55-9bf4085d3dac/download/useb-dgcetfw-tetdip-piddiviaionline-publicationemployer-list2021-employer-listq1-2021tfwp_2021q.xlsx,xlsx,1,6,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,not present,not present,"prov, stream, empl, add"
https://www.esdc.gc.ca/ouvert-open/bca-seb/imt-lmi/TFWP_2021Q2_Positive_EN.xlsx,xlsx,1,6,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,not present,not present,"prov, stream, empl, add"
https://www.esdc.gc.ca/ouvert-open/bca-seb/ae-ei/TFWP_2021Q3_Positive_EN.xlsx,xlsx,1,6,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,not present,not present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/84b1e3f0-7160-4dbf-9093-3ad8616dd28a/download/useb-dgcetfw-tetdip-piddiviaionline-publicationemployer-list2021-employer-list2021q4finaltfwp_2.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/8da7aa91-8df9-469e-9120-87ddf12c9944/download/tfwp_2022q1_positive_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/dd627095-614a-45df-a7ef-df0a4a46a812/download/tfwp_2022q2_positive_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/b369ae20-0c7e-4d10-93ca-07c86c91e6fe/download/tfwp_2022q3_positive_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/cff0477d-8ab1-4252-b56a-2cd96b057049/download/tfwp_2022q4_pos_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/65794992-cce4-4103-a1f6-ec6e3d249e90/download/tfwp_2023q1_pos_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/aed9328a-1b42-48bd-a096-75ef06eba025/download/tfwp_2023q2_pos_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/d48a4d9a-fffa-4c02-81c9-93332c52f2df/download/tfwp_2023q3_pos_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/aa0a56e3-244e-4958-8f60-82e5b478bebe/download/tfwp_2023q4_pos_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
https://open.canada.ca/data/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/049928ce-0e7f-480b-9983-f5fa46f612ae/download/tfwp_2024q1_pos_en.xlsx,xlsx,1,8,Occupation,"city before last comma, prov postal",XXXX-category,Program Stream,present,present,"prov, stream, empl, add"
